Aces_left,Aces_right,Double Faults_left,Double Faults_right,1st serve percentage_left,1st serve percentage_right,1st serve points won_left,1st serve points won_right,2nd serve points won_left,2nd serve points won_right,Break Points Saved_left,Break Points Saved_right,1st return points won_left,1st return points won_right,2nd return points won_left,2nd return points won_right,Break Points Converted_left,Break Points Converted_right,Service Points Won_left,Service Points Won_right,Return Points Won_left,Return Points Won_right,Total Points Won_left,Total Points Won_right,Service games won_left,Service games won_right,Return games won_left,Return games won_right,Total games won_left,Total games won_right,player_left,player_right,date,match_info,match_result_sets,sets_played,best_of_estimate,score_full,set_1_score,set_1_tiebreak,set_2_score,set_2_tiebreak,set_3_score,set_3_tiebreak,set_4_score,set_4_tiebreak,set_5_score,set_5_tiebreak
4,2,0,3,60%,61%,"100%
(18/18)","50%
(18/36)","83%
(10/12)","30%
(7/23)",0/0,3/8,"50%
(18/36)","0%
(0/18)","57%
(13/23)","17%
(2/12)",5/8,0/0,"93%
(28/30)","42%
(25/59)","58%
(34/59)","7%
(2/30)","70%
(62/89)","30%
(27/89)","100%
(7/7)","29%
(2/7)","71%
(5/7)","0%
(0/7)","86%
(12/14)","14%
(2/14)",ivashka-ilya,ymer-mikael,28.08.2021 21:15,winston-salem-2021,2-0,2,3,2-0 | 6-0 | 6-2,6-0,,6-2,,,,,,,
2,3,2,3,69%,54%,"71%
(27/38)","75%
(24/32)","47%
(8/17)","67%
(18/27)",0/3,1/2,"25%
(8/32)","29%
(11/38)","22%
(6/27)","41%
(7/17)",1/2,3/3,"64%
(35/55)","71%
(42/59)","29%
(17/59)","36%
(20/55)","46%
(52/114)","54%
(62/114)","70%
(7/10)","91%
(10/11)","9%
(1/11)","30%
(3/10)","38%
(8/21)","62%
(13/21)",alcaraz-garfia-carlos,ymer-mikael,28.08.2021 00:50,winston-salem-2021,0-2,2,3,0-2 | 5-7 | 3-6,5-7,,3-6,,,,,,,
4,3,2,1,63%,64%,"83%
(20/24)","49%
(18/37)","64%
(9/14)","38%
(8/21)",0/0,4/9,"51%
(19/37)","17%
(4/24)","57%
(12/21)","21%
(3/14)",5/9,0/0,"76%
(29/38)","45%
(26/58)","55%
(32/58)","24%
(9/38)","64%
(61/96)","36%
(35/96)","100%
(7/7)","38%
(3/8)","63%
(5/8)","0%
(0/7)","80%
(12/15)","20%
(3/15)",ivashka-ilya,ruusuvuori-emil,27.08.2021 23:10,winston-salem-2021,2-0,2,3,2-0 | 6-2 | 6-1,6-2,,6-1,,,,,,,
2,3,4,2,65%,53%,"67%
(32/48)","73%
(22/30)","27%
(7/26)","70%
(19/27)",8/12,3/5,"27%
(8/30)","33%
(16/48)","22%
(6/27)","58%
(15/26)",2/5,4/12,"53%
(39/74)","72%
(41/57)","28%
(16/57)","47%
(35/74)","42%
(55/131)","58%
(76/131)","60%
(6/10)","80%
(8/10)","20%
(2/10)","40%
(4/10)","40%
(8/20)","60%
(12/20)",giron-marcos,alcaraz-garfia-carlos,27.08.2021 01:50,winston-salem-2021,0-2,2,3,0-2 | 6-7(2-7) | 2-6,6-7,2-7,2-6,,,,,,,
8,9,3,8,65%,46%,"71%
(41/58)","69%
(31/45)","45%
(14/31)","44%
(23/52)",9/12,7/14,"31%
(14/45)","29%
(17/58)","40%
(21/52)","45%
(14/31)",7/14,3/12,"62%
(55/89)","56%
(54/97)","44%
(43/97)","38%
(34/89)","53%
(98/186)","47%
(88/186)","79%
(11/14)","53%
(8/15)","47%
(7/15)","21%
(3/14)","62%
(18/29)","38%
(11/29)",ymer-mikael,tiafoe-frances,26.08.2021 23:10,winston-salem-2021,2-1,3,3,2-1 | 6-7(2-7) | 6-2 | 6-3,6-7,2-7,6-2,,6-3,,,,,
0,6,1,0,63%,69%,"54%
(22/41)","78%
(31/40)","58%
(14/24)","56%
(10/18)",2/6,4/5,"23%
(9/40)","46%
(19/41)","44%
(8/18)","38%
(9/24)",1/5,4/6,"55%
(36/65)","71%
(41/58)","29%
(17/58)","45%
(29/65)","43%
(53/123)","57%
(70/123)","60%
(6/10)","89%
(8/9)","11%
(1/9)","40%
(4/10)","37%
(7/19)","63%
(12/19)",gasquet-richard,ruusuvuori-emil,26.08.2021 21:05,winston-salem-2021,0-2,2,3,0-2 | 6-7(5-7) | 1-6,6-7,5-7,1-6,,,,,,,
3,11,2,1,67%,80%,"67%
(32/48)","86%
(37/43)","54%
(13/24)","73%
(8/11)",2/4,0/0,"14%
(6/43)","33%
(16/48)","18%
(2/11)","38%
(9/24)",0/0,2/4,"63%
(45/72)","83%
(45/54)","17%
(9/54)","38%
(27/72)","43%
(54/126)","57%
(72/126)","82%
(9/11)","100%
(10/10)","0%
(0/10)","18%
(2/11)","43%
(9/21)","57%
(12/21)",carreno-busta-pablo,ivashka-ilya,26.08.2021 19:10,winston-salem-2021,0-2,2,3,0-2 | 6-7(2-7) | 3-6,6-7,2-7,3-6,,,,,,,
0,7,2,4,57%,56%,"57%
(31/54)","68%
(28/41)","59%
(24/41)","53%
(17/32)",11/14,3/6,"32%
(13/41)","43%
(23/54)","34%
(11/32)","37%
(15/41)",3/6,3/14,"58%
(55/95)","62%
(45/73)","38%
(28/73)","42%
(40/95)","49%
(83/168)","51%
(85/168)","75%
(9/12)","73%
(8/11)","27%
(3/11)","25%
(3/12)","52%
(12/23)","48%
(11/23)",alcaraz-garfia-carlos,fucsovics-marton,26.08.2021 01:15,winston-salem-2021,2-1,3,3,2-1 | 6-3 | 0-6 | 6-2,6-3,,0-6,,6-2,,,,,
6,4,5,2,49%,65%,"73%
(36/49)","79%
(37/47)","50%
(25/50)","64%
(16/25)",9/12,0/1,"21%
(10/47)","27%
(13/49)","28%
(7/25)","40%
(20/50)",1/1,3/12,"62%
(61/99)","74%
(53/72)","26%
(19/72)","38%
(38/99)","47%
(80/171)","53%
(91/171)","79%
(11/14)","93%
(13/14)","7%
(1/14)","21%
(3/14)","43%
(12/28)","57%
(16/28)",herbert-pierre-hugues,giron-marcos,25.08.2021 23:35,winston-salem-2021,1-2,3,3,1-2 | 6-4 | 3-6 | 3-6,6-4,,3-6,,3-6,,,,,
14,11,2,1,63%,76%,"86%
(37/43)","71%
(40/56)","68%
(17/25)","56%
(10/18)",2/2,2/3,"29%
(16/56)","14%
(6/43)","39%
(7/18)","24%
(6/25)",1/3,0/2,"79%
(54/68)","68%
(50/74)","32%
(24/74)","21%
(14/68)","55%
(78/142)","45%
(64/142)","100%
(12/12)","92%
(11/12)","8%
(1/12)","0%
(0/12)","54%
(13/24)","46%
(11/24)",tiafoe-frances,monteiro-thiago,25.08.2021 23:15,winston-salem-2021,2-0,2,3,2-0 | 7-5 | 7-6(7-2),7-5,,7-6,7-2,,,,,,
