base_index,base_tourney_name,base_slug,year,tourney_name,tourney_slug,tourney_url,results_url,archive_url
1,Adelaide,adelaide,1990.0,ATP Adelaide 1990,adelaide-1990,https://www.flashscore.com/tennis/atp-singles/adelaide-1990/,https://www.flashscore.com/tennis/atp-singles/adelaide-1990/results/,https://www.flashscore.com/tennis/atp-singles/adelaide/archive/
4,Amersfoort,amersfoort,1990.0,ATP Hilversum 1990,amersfoort-1990,https://www.flashscore.com/tennis/atp-singles/amersfoort-1990/,https://www.flashscore.com/tennis/atp-singles/amersfoort-1990/results/,https://www.flashscore.com/tennis/atp-singles/amersfoort/archive/
12,Athens 2,athens-2,1990.0,ATP Athens 2 1990,athens-2-1990,https://www.flashscore.com/tennis/atp-singles/athens-2-1990/,https://www.flashscore.com/tennis/atp-singles/athens-2-1990/results/,https://www.flashscore.com/tennis/atp-singles/athens-2/archive/
15,Auckland,auckland,1990.0,ATP Auckland 1990,auckland-1990,https://www.flashscore.com/tennis/atp-singles/auckland-1990/,https://www.flashscore.com/tennis/atp-singles/auckland-1990/results/,https://www.flashscore.com/tennis/atp-singles/auckland/archive/
16,Australian Open,australian-open,1990.0,ATP Australian Open 1990,australian-open-1990,https://www.flashscore.com/tennis/atp-singles/australian-open-1990/,https://www.flashscore.com/tennis/atp-singles/australian-open-1990/results/,https://www.flashscore.com/tennis/atp-singles/australian-open/archive/
19,Barcelona,barcelona,1990.0,ATP Barcelona 1990,barcelona-1990,https://www.flashscore.com/tennis/atp-singles/barcelona-1990/,https://www.flashscore.com/tennis/atp-singles/barcelona-1990/results/,https://www.flashscore.com/tennis/atp-singles/barcelona/archive/
20,Basel,basel,1990.0,ATP Basel 1990,basel-1990,https://www.flashscore.com/tennis/atp-singles/basel-1990/,https://www.flashscore.com/tennis/atp-singles/basel-1990/results/,https://www.flashscore.com/tennis/atp-singles/basel/archive/
21,Bastad,bastad,1990.0,ATP Bastad 1990,bastad-1990,https://www.flashscore.com/tennis/atp-singles/bastad-1990/,https://www.flashscore.com/tennis/atp-singles/bastad-1990/results/,https://www.flashscore.com/tennis/atp-singles/bastad/archive/
25,Berlin,berlin,1990.0,ATP Berlin 1990,berlin-1990,https://www.flashscore.com/tennis/atp-singles/berlin-1990/,https://www.flashscore.com/tennis/atp-singles/berlin-1990/results/,https://www.flashscore.com/tennis/atp-singles/berlin/archive/
29,Bologna,bologna,1990.0,ATP Bologna 1990,bologna-1990,https://www.flashscore.com/tennis/atp-singles/bologna-1990/,https://www.flashscore.com/tennis/atp-singles/bologna-1990/results/,https://www.flashscore.com/tennis/atp-singles/bologna/archive/
31,Bordeaux,bordeaux,1990.0,ATP Bordeaux 1990,bordeaux-1990,https://www.flashscore.com/tennis/atp-singles/bordeaux-1990/,https://www.flashscore.com/tennis/atp-singles/bordeaux-1990/results/,https://www.flashscore.com/tennis/atp-singles/bordeaux/archive/
35,Brisbane,brisbane,1990.0,ATP Brisbane 1990,brisbane-1990,https://www.flashscore.com/tennis/atp-singles/brisbane-1990/,https://www.flashscore.com/tennis/atp-singles/brisbane-1990/results/,https://www.flashscore.com/tennis/atp-singles/brisbane/archive/
37,Brussels (DIC),brussels-dic,1990.0,ATP Brussels (DIC) 1990,brussels-dic-1990,https://www.flashscore.com/tennis/atp-singles/brussels-dic-1990/,https://www.flashscore.com/tennis/atp-singles/brussels-dic-1990/results/,https://www.flashscore.com/tennis/atp-singles/brussels-dic/archive/
43,Casablanca,casablanca,1990.0,ATP Casablanca 1990,casablanca-1990,https://www.flashscore.com/tennis/atp-singles/casablanca-1990/,https://www.flashscore.com/tennis/atp-singles/casablanca-1990/results/,https://www.flashscore.com/tennis/atp-singles/casablanca/archive/
47,Cincinnati,cincinnati,1990.0,ATP Cincinnati 1990,cincinnati-1990,https://www.flashscore.com/tennis/atp-singles/cincinnati-1990/,https://www.flashscore.com/tennis/atp-singles/cincinnati-1990/results/,https://www.flashscore.com/tennis/atp-singles/cincinnati/archive/
68,Estoril,estoril,1990.0,ATP Estoril 1990,estoril-1990,https://www.flashscore.com/tennis/atp-singles/estoril-1990/,https://www.flashscore.com/tennis/atp-singles/estoril-1990/results/,https://www.flashscore.com/tennis/atp-singles/estoril/archive/
69,Finals - Turin,finals-turin,1990.0,ATP World Tour Finals - Frankfurt 1990,finals-turin-1990,https://www.flashscore.com/tennis/atp-singles/finals-turin-1990/,https://www.flashscore.com/tennis/atp-singles/finals-turin-1990/results/,https://www.flashscore.com/tennis/atp-singles/finals-turin/archive/
70,Florence,florence,1990.0,ATP Florence 1990,florence-1990,https://www.flashscore.com/tennis/atp-singles/florence-1990/,https://www.flashscore.com/tennis/atp-singles/florence-1990/results/,https://www.flashscore.com/tennis/atp-singles/florence/archive/
71,French Open,french-open,1990.0,ATP French Open 1990,french-open-1990,https://www.flashscore.com/tennis/atp-singles/french-open-1990/,https://www.flashscore.com/tennis/atp-singles/french-open-1990/results/,https://www.flashscore.com/tennis/atp-singles/french-open/archive/
72,Geneva,geneva,1990.0,ATP Geneva 1990,geneva-1990,https://www.flashscore.com/tennis/atp-singles/geneva-1990/,https://www.flashscore.com/tennis/atp-singles/geneva-1990/results/,https://www.flashscore.com/tennis/atp-singles/geneva/archive/
73,Genoa,genoa,1990.0,ATP Genoa 1990,genoa-1990,https://www.flashscore.com/tennis/atp-singles/genoa-1990/,https://www.flashscore.com/tennis/atp-singles/genoa-1990/results/,https://www.flashscore.com/tennis/atp-singles/genoa/archive/
75,Grand Slam Cup,grand-slam-cup,1990.0,ATP Grand Slam Cup 1990,grand-slam-cup-1990,https://www.flashscore.com/tennis/atp-singles/grand-slam-cup-1990/,https://www.flashscore.com/tennis/atp-singles/grand-slam-cup-1990/results/,https://www.flashscore.com/tennis/atp-singles/grand-slam-cup/archive/
76,Gstaad,gstaad,1990.0,ATP Gstaad 1990,gstaad-1990,https://www.flashscore.com/tennis/atp-singles/gstaad-1990/,https://www.flashscore.com/tennis/atp-singles/gstaad-1990/results/,https://www.flashscore.com/tennis/atp-singles/gstaad/archive/
79,Hamburg,hamburg,1990.0,ATP Hamburg 1990,hamburg-1990,https://www.flashscore.com/tennis/atp-singles/hamburg-1990/,https://www.flashscore.com/tennis/atp-singles/hamburg-1990/results/,https://www.flashscore.com/tennis/atp-singles/hamburg/archive/
81,Hertogenbosch,hertogenbosch,1990.0,ATP Rosmalen 1990,hertogenbosch-1990,https://www.flashscore.com/tennis/atp-singles/hertogenbosch-1990/,https://www.flashscore.com/tennis/atp-singles/hertogenbosch-1990/results/,https://www.flashscore.com/tennis/atp-singles/hertogenbosch/archive/
83,Hong Kong,hong-kong,1990.0,ATP Hong Kong 1990,hong-kong-1990,https://www.flashscore.com/tennis/atp-singles/hong-kong-1990/,https://www.flashscore.com/tennis/atp-singles/hong-kong-1990/results/,https://www.flashscore.com/tennis/atp-singles/hong-kong/archive/
85,Houston,houston,1990.0,ATP Kiawah Island 1990,houston-1990,https://www.flashscore.com/tennis/atp-singles/houston-1990/,https://www.flashscore.com/tennis/atp-singles/houston-1990/results/,https://www.flashscore.com/tennis/atp-singles/houston/archive/
86,Indian Wells,indian-wells,1990.0,ATP Indian Wells 1990,indian-wells-1990,https://www.flashscore.com/tennis/atp-singles/indian-wells-1990/,https://www.flashscore.com/tennis/atp-singles/indian-wells-1990/results/,https://www.flashscore.com/tennis/atp-singles/indian-wells/archive/
87,Indianapolis,indianapolis,1990.0,ATP Indianapolis 1990,indianapolis-1990,https://www.flashscore.com/tennis/atp-singles/indianapolis-1990/,https://www.flashscore.com/tennis/atp-singles/indianapolis-1990/results/,https://www.flashscore.com/tennis/atp-singles/indianapolis/archive/
92,Kitzbuhel,kitzbuhel,1990.0,ATP Kitzbuhel 1990,kitzbuhel-1990,https://www.flashscore.com/tennis/atp-singles/kitzbuhel-1990/,https://www.flashscore.com/tennis/atp-singles/kitzbuhel-1990/results/,https://www.flashscore.com/tennis/atp-singles/kitzbuhel/archive/
97,London,london,1990.0,ATP London 1990,london-1990,https://www.flashscore.com/tennis/atp-singles/london-1990/,https://www.flashscore.com/tennis/atp-singles/london-1990/results/,https://www.flashscore.com/tennis/atp-singles/london/archive/
98,Long Island,long-island,1990.0,ATP Long Island 1990,long-island-1990,https://www.flashscore.com/tennis/atp-singles/long-island-1990/,https://www.flashscore.com/tennis/atp-singles/long-island-1990/results/,https://www.flashscore.com/tennis/atp-singles/long-island/archive/
99,Los Angeles,los-angeles,1990.0,ATP Los Angeles 1990,los-angeles-1990,https://www.flashscore.com/tennis/atp-singles/los-angeles-1990/,https://www.flashscore.com/tennis/atp-singles/los-angeles-1990/results/,https://www.flashscore.com/tennis/atp-singles/los-angeles/archive/
103,Lyon 3,lyon-3,1990.0,ATP Lyon 3 1990,lyon-3-1990,https://www.flashscore.com/tennis/atp-singles/lyon-3-1990/,https://www.flashscore.com/tennis/atp-singles/lyon-3-1990/results/,https://www.flashscore.com/tennis/atp-singles/lyon-3/archive/
104,Maceio,maceio,1990.0,ATP Guaruja 1990,maceio-1990,https://www.flashscore.com/tennis/atp-singles/maceio-1990/,https://www.flashscore.com/tennis/atp-singles/maceio-1990/results/,https://www.flashscore.com/tennis/atp-singles/maceio/archive/
